,sample_size,kernel,weights,cor,res,time_outer,time_w,time_e
0,10,gaussian,"[ 0.04887789 -0.10264247 -0.1933862   0.37947567 -0.5615175  -0.09314595
 -0.34885052 -0.05139596 -0.05854223 -0.36079231]","[ 0.14256911  0.15008647  0.02790994  0.05111338  0.17285727  0.05760953
  0.08272674  0.04959383  0.11291117 -0.03300212]","[0.42871545 0.42495676 0.48604503 0.47444331 0.41357136 0.47119523
 0.45863663 0.47520308 0.44354442 0.51650106]","[0.03127766 0.06291842 0.06250191 0.12052679 0.54954362 0.04689813
 0.07856607 0.06292105 0.04690313 0.0311532 ]","[0.01562095 0.02515078 0.01562691 0.05684495 0.04379129 0.
 0.0347898  0.04076934 0.03127289 0.0311532 ]","[0.         0.01562858 0.0312438  0.02061534 0.47658372 0.
 0.0156281  0.         0.         0.        ]"
1,10,gaussian,"[ 0.00951309 -0.41132116 -0.01084453  0.17945685 -0.31572727 -0.08476621
 -0.12050021  0.17904462 -0.25901583  0.41687488]","[0.08626818 0.08227674 0.10858824 0.10607095 0.02951535 0.16170322
 0.08522264 0.05411491 0.06732402 0.15904051]","[0.45686591 0.45886163 0.44570588 0.44696452 0.48524233 0.41914839
 0.45738868 0.47294254 0.46633799 0.42047975]","[0.08464503 0.09418225 0.09679556 0.06252289 0.06294918 0.45534039
 0.12546682 0.06249452 0.04608178 0.50415707]","[0.02214885 0.04376292 0.04685473 0.0156281  0.05392933 0.04177618
 0.07859755 0.01562572 0.01211786 0.08200574]","[0.         0.0156498  0.00301743 0.         0.00901985 0.28215599
 0.         0.01563072 0.         0.42215133]"
2,10,gaussian,"[ 0.00683652 -0.05539728 -0.23835975  0.73170219 -0.56114774 -0.15656274
 -0.50444581 -0.17347993 -0.0524737  -0.43259887]","[ 0.15800654  0.13625319  0.08582333 -0.03005454  0.13037931  0.14946282
  0.16884229  0.17864753  0.04240717  0.06868696]","[0.42099673 0.4318734  0.45708834 0.51502727 0.43481034 0.42526859
 0.41557885 0.41067623 0.47879641 0.46565652]","[0.09420514 0.09511852 0.10981941 0.0862298  0.06155872 0.06292725
 0.51784968 0.53108692 0.04731703 0.03128004]","[0.00402403 0.01302266 0.         0.03127646 0.01881862 0.03127027
 0.03377748 0.04376292 0.01562262 0.01565552]","[0.         0.0298233  0.0367713  0.02980733 0.01599789 0.
 0.42154932 0.4410274  0.00252366 0.        ]"
3,10,gaussian,"[-0.20660219 -0.22318996  0.00478104  0.451522   -0.48492487 -0.11490499
  0.03051669 -0.23420747 -0.4021316   0.3624276 ]","[0.15739617 0.13607485 0.17851556 0.20169708 0.05426313 0.08517164
 0.22630463 0.06522806 0.02806189 0.00448653]","[0.42130191 0.43196258 0.41074222 0.39915146 0.47286844 0.45741418
 0.38684769 0.46738597 0.48596906 0.49775674]","[0.03127599 0.06292367 0.27903557 0.41422701 0.07854533 0.04686809
 0.40803266 0.04279923 0.04686928 0.03543735]","[0.01561785 0.02565002 0.04739094 0.07155752 0.03124237 0.01562333
 0.08805752 0.         0.01561999 0.01980591]","[0.         0.01562476 0.18797946 0.17335081 0.         0.01562524
 0.25746965 0.01564884 0.         0.01563144]"
4,10,gaussian,"[ 0.06436036 -0.22981013 -0.13581691  0.37147848 -0.53955219 -0.14566338
 -0.25318089  0.20260233 -0.12658727 -0.08693876]","[ 0.15009783  0.13141894  0.06207807  0.07225371  0.06676477 -0.00590316
  0.07762467  0.13693662  0.10149143  0.0493289 ]","[0.42495108 0.43429053 0.46896097 0.46387314 0.46661761 0.50295158
 0.46118767 0.43153169 0.44925428 0.47533555]","[0.01562572 0.05092502 0.04729867 0.06453395 0.0785687  0.06293845
 0.06291556 0.45493078 0.07857251 0.04687595]","[0.         0.03527999 0.         0.04761362 0.03775764 0.01562572
 0.02864695 0.04730582 0.         0.04687595]","[0.         0.01564503 0.01562428 0.01565456 0.00952339 0.03168845
 0.01562977 0.36585093 0.01765227 0.        ]"
5,10,gaussian,"[-0.01766072  0.26644018 -0.28794513  0.48503795 -0.56434979 -0.34880222
 -0.15479807 -0.02504004 -0.03227704  0.0066901 ]","[ 0.15604382  0.136784    0.0792948   0.17352024  0.0555625   0.19867936
  0.16214539  0.06418819 -0.01288367  0.03455303]","[0.42197809 0.431608   0.4603526  0.41323988 0.47221875 0.40066032
 0.41892731 0.4679059  0.50644183 0.48272349]","[0.03124332 0.06295156 0.12543797 0.39242291 0.04730105 0.5026052
 0.04690266 0.03167415 0.05531836 0.01604033]","[0.01561475 0.0176754  0.03124952 0.03780055 0.01252174 0.01566315
 0.03125119 0.0160439  0.01674724 0.00552177]","[0.         0.01562619 0.04690361 0.29722118 0.00352144 0.36793733
 0.         0.01563025 0.01562262 0.        ]"
6,10,gaussian,"[-0.27829112  0.07379919 -0.1344717   0.10673493 -0.72163914  0.04014325
  0.65010212  0.09608247 -0.09944152 -0.06939985]","[ 0.09593894  0.08125426  0.14136674  0.24925154  0.12577845  0.1362258
  0.09081009 -0.00418147  0.04638166 -0.24103355]","[0.45203053 0.45937287 0.42931663 0.37537423 0.43711078 0.4318871
 0.45459496 0.50209073 0.47680917 0.62051677]","[0.07854199 0.08013558 0.03127193 0.34546971 0.06252575 0.03226924
 0.03067398 0.04687548 0.03165889 0.17584062]","[0.01604414 0.03124714 0.         0.03166914 0.01564884 0.01664281
 0.03067398 0.01562381 0.         0.        ]","[0.         0.01562428 0.01565909 0.28665352 0.         0.01562643
 0.         0.         0.         0.12544966]"
7,10,gaussian,"[-0.10419442 -0.0500792  -0.15970777  0.79135957 -0.31595869 -0.21338992
 -0.61607098  0.1490427  -0.19989223  0.032501  ]","[ 0.17970937  0.14508037  0.07351332  0.12522673  0.10117261  0.15930542
 -0.00282669 -0.00219128  0.08447018  0.10064189]","[0.41014532 0.42745982 0.46324334 0.43738664 0.44941369 0.42034729
 0.50141335 0.50109564 0.45776491 0.44967905]","[0.03127813 0.06291604 0.07814407 0.07815409 0.07857013 0.07857466
 0.04728436 0.0468967  0.06295419 0.03124738]","[0.01565433 0.00652122 0.046911   0.03124285 0.05639338 0.01564431
 0.0286386  0.         0.00702548 0.01562405]","[0.         0.01562858 0.         0.0156498  0.00652337 0.01252294
 0.01562524 0.         0.         0.        ]"
8,10,gaussian,"[-0.10717393 -0.14898457 -0.05329857  0.33535524 -0.45037241 -0.15831121
 -0.39819097  0.13799509 -0.08478218  0.0668016 ]","[ 0.16028621  0.12097184  0.09788932  0.03222512  0.08168734  0.10231608
  0.08641392 -0.00569743 -0.05354797 -0.03225669]","[0.41985689 0.43951408 0.45105534 0.48388744 0.45915633 0.44884196
 0.45679304 0.50284872 0.52677399 0.51612834]","[0.03166866 0.04946208 0.04734445 0.07856894 0.04687095 0.03128099
 0.35257387 0.03127742 0.03125072 0.04689956]","[0.01502562 0.01562572 0.         0.01565266 0.03124976 0.01563263
 0.04689908 0.         0.         0.        ]","[0.         0.01820946 0.01817226 0.01562166 0.01562119 0.
 0.2356143  0.         0.01562309 0.01564407]"
9,10,gaussian,"[-0.05817911 -0.39863621 -0.00193264  0.33168014  0.04400688 -0.23350846
 -0.13957464  0.34271131 -0.35450338 -0.23509812]","[ 0.16263173  0.11641383  0.10460715  0.02344524  0.08838906  0.16177716
  0.04454289 -0.05031423  0.13797983  0.02119506]","[0.41868413 0.44179308 0.44769642 0.48827738 0.45580547 0.41911142
 0.47772856 0.52515711 0.43101009 0.48940247]","[0.03527641 0.04689908 0.06293631 0.04687166 0.06295037 0.50219893
 0.0473218  0.0629108  0.09578991 0.0296638 ]","[0.00402308 0.01562285 0.0100193  0.03125119 0.01564932 0.04731154
 0.         0.03576112 0.03128242 0.        ]","[0.         0.01565266 0.01562047 0.01562047 0.0155282  0.42362499
 0.01562095 0.01563191 0.01764417 0.01401806]"
