,ret14593,ret10107,ret84788,ret47896,ret22111,ret55976,ret59408,ret83443,ret18163,ret11850,ret66093,ret92655,ret26403,ret59328,ret65875,ret17778,ret66181,ret11308,ret22752,ret14541,ret38703,ret21936,ret76076,ret13856,ret19561,ret70519,ret10104,ret75510,ret20482,ret19393,ret43449,ret86580,ret14008,ret62092,ret87055,ret17830,ret10145,ret57665,ret50876,ret48725,ret15579,ret12490,ret24205,ret49680,ret21178,ret77702,ret59176,ret22592,ret77178,ret12060,ret17005,ret13901,ret66157,ret61399,ret86783,ret69032,ret87447,ret18542,ret86868,ret10696,ret73139,ret87267,ret64186,ret71563,ret44644,ret39642,ret40539,ret13928,ret60442,ret78975,ret64936,ret27959,ret18411,ret17478,ret49154,ret77605,ret24942,ret75186,ret53613,ret18729,ret24766,ret56573,ret62148,ret45751,ret14702,ret70578,ret19350,ret36468,ret19502,ret28222,ret61241,ret12052,ret64311,ret85913,ret75825,ret48653,ret11955,ret81055,ret17750,ret24109
2001-01-04,-3239.311697414413,5708.092399889994,1230.3880040992208,-5250.180317120408,-1289.8952818487778,-1792.9520365204608,-1982.4958017678655,-4425.962431360294,-3595.173507630793,1712.9138729184779,3119.2892193169937,4576.809166608331,-316.3938066941828,1534.4887153442178,1044.7010584088112,-12202.224561218798,-1932.6779048469325,-1345.069834554125,3804.5699095248865,-1791.9036097462722,594.4069950151425,6912.587558859599,-2411.722674263779,-2804.2872196892204,1194.1433386087174,-694.648733489367,-56.49202726529347,5922.207471405848,2832.6192845820897,1252.7254362382919,427.072391961241,2774.835820454806,1573.5821194675746,4486.095944929273,-6057.403184743781,-6198.917675354693,6296.710062901087,7308.021637139768,2429.4115127885816,-4046.790569277049,-6376.349920230463,-758.3410358143447,3649.281188146919,-2901.621292312324,-5621.779017919965,2476.3504913532574,255.65225135195033,3802.457744574202,4157.128031668042,901.175942426883,-547.1575973297731,-1323.188892947669,-158.03311394292723,-7550.6718539704025,6574.251328078541,-6407.429967958511,3842.302962629994,4417.361252715154,-2218.4257968545553,5869.9646755113135,3857.295434744692,7353.147760454227,-2437.3082744263274,-240.46689600444734,-2737.526901983697,-5203.525071636524,-1911.265095714637,1499.9660647966903,2318.4165753658745,2395.909020167139,2693.0706051538946,-6849.14535446983,-453.06795145143406,-6241.145086658684,-1132.765971218054,-2179.746179570795,-2615.7102108366153,7187.5238613409765,515.1401417153666,665.249149558469,1643.4724498052565,8067.053117570397,-3860.796226682838,-2832.8761014735232,7682.326905986956,-583.5845582958718,1003.4518613162104,1284.8371616317067,-3311.19342703071,-4448.227750571509,2071.4736520579236,-3979.2030237583513,6244.7792624861995,907.4512354624694,-3764.717575855375,-2965.345091075872,-2423.4768594817288,-3299.4587588249897,1515.3287096036788,-699.7302712392539
2001-01-05,2848.4753908417524,-5952.797498299839,5037.480833211339,579.9371818359541,511.66630973655447,4645.308262200635,3549.963597138786,4268.184855485678,92.13746337680686,1620.6782541010884,-3767.9834905235093,3754.436438084836,-1171.0421609269288,6416.966604563288,265.585243764599,-9103.373823080927,3538.8699179447954,-4102.986991561607,4053.7420152289196,-110.16181592475732,16.925417398919194,5396.129765216549,3612.928656052558,-1167.81900578384,691.230800147913,3919.0820322080885,-1389.5459475996427,-4090.134068567878,1479.7360182727439,686.6367970850988,4374.943357840386,-53.38686279764988,-3897.9067976048163,-5224.139485448117,8247.173997914682,3126.9062197230983,7314.309132424029,-1402.9106785857239,-6055.470800036981,4777.143787915689,-2287.1712144717867,3665.4660046829713,-1402.6806314980172,5480.6973186099585,956.2192419018572,2832.603053461309,2654.1528130455536,5299.158880143752,-687.2668206984908,485.9705274934581,1274.4078589201104,-3060.4153470154306,-43.32785154585508,9708.653740906491,-2918.4069841872015,4401.270891413626,5145.612128818391,208.52527875854503,6284.647405402155,5887.153222961482,407.32343648482083,-6136.450768790188,397.09819109200726,-4340.7541500563275,3920.1729974239324,-2163.079800745617,-1072.4586283778017,1229.95621587188,1854.7857167926913,7776.524598915712,1873.836945152315,2343.518319510288,-6069.006861130639,-2558.0858414160166,-994.638253313371,-2266.570979037212,-5641.23788447132,-3498.3077332365247,-1294.463611903171,1394.214268839637,-2765.700464855827,512.0189783448986,-4212.032570937995,-9324.850758921588,-6823.577207675125,247.55787269869734,1906.0300483505343,-4900.142942112861,-1229.7021426138172,-2620.0946161458396,-727.7550637810173,2311.4292069807843,-6094.233054561066,4483.356743272338,-1394.820546547086,-3058.6143526653423,-2670.8997296752095,-2809.034216548393,1810.1516645993024,-682.3369388679411
2001-01-08,3466.596888042627,-5409.802073882876,-1401.9227779772991,-874.838360211681,-2184.1879944743932,-3673.743936783315,17.426715479410632,3463.702826758527,109.99283778105337,-1298.1852761968566,-5329.858677455072,1022.8354625613947,-6541.864403918042,873.447554451996,8969.743012966803,3670.5267457729096,4327.787183072301,-1291.5029999466915,1276.0593722350532,-797.3641974090592,-4833.928487205684,-2464.178511175426,-717.5101841377727,-1879.214191313891,2402.8875337230425,3000.9248549683007,-3288.434080860522,2115.0933881668125,-3683.733016964339,-4488.8224228890085,-2392.2678196971283,-3733.0530763226716,4940.565484254323,-4671.069456136405,7173.704630123069,8382.770973072344,1941.78446272546,4549.678612290713,4434.363922970429,-461.58433735044673,343.16184551417155,1385.4421147793573,2142.7184498003335,-1140.7041470813429,-2298.9310013578342,-957.1163368022526,-3758.6285741877878,4330.011823724686,-393.5345487160612,-1206.0858988887062,588.0863626965729,2937.312831335409,2079.369871349606,-15323.567938745362,3179.4572787684074,3045.825300488681,2557.504335115753,-3006.303129758905,6447.5429084687685,215.2190394111076,412.89476682099985,4528.408762269679,6481.235027432644,3526.3287172428463,-1822.4377132677018,1654.491245282249,-1797.2383069363968,-818.6079921172668,93.10676070658519,7688.246098648623,2035.1754481644343,-6591.851554576721,-1851.9206963992065,-3117.0355637968723,-2452.6591937365774,-3674.693166542847,687.3502496153533,7344.412890823468,-408.3940665950995,4595.755031334306,-2713.5288490400053,2148.993728303585,11676.165639529005,-4051.897942778979,1219.5574999400178,1379.6561312524673,1428.9016437008113,-4170.3100978751445,4971.567392327672,464.4524480382088,-876.3424403553272,3090.4508991691014,6861.058371816258,5441.162212348883,-1195.7613906425477,-1605.6787026198508,-675.8911017883734,-2384.2487890401785,1431.787859074163,-417.32847373342634
2001-01-09,-2470.7446797143816,2813.5276777295185,3486.3031502909544,-196.01954033703623,1791.4793462803718,4160.636744741007,1169.4009448058114,3118.704384754909,-260.39913542592603,-6319.640812529954,-1070.5992920445078,31.446250388284284,-2036.8599831076153,-1280.4227622270655,1184.2264714147113,-11411.433747397657,961.7778595221525,3340.795431020938,1084.2111065016234,-2572.2213527984513,-4472.138943904703,1817.7852159366394,453.0393538504418,3548.513650339613,-2317.617874520795,-2784.759640258363,1874.118562148592,-1394.7294506564585,-5632.120045645306,1310.4620095533955,-5384.68160771208,3795.4094884945107,6587.753683155105,1215.2880396526925,7321.6188012222465,-545.9198479246952,6641.49829716029,405.69837064898184,6184.784810281041,-565.3616030480516,-1253.2266058023936,-3929.556321703325,686.8757083390703,747.197760990834,528.1958414444425,-5187.339971596733,4137.688509315676,62.64761222782363,31.786621365145038,396.60782797517095,3024.4353121781724,-14.413699628763425,-14106.82660338302,2621.2491729543926,-6145.612910244708,382.8033637507633,-2403.399572314651,-4712.033067284873,-4818.975058766491,-848.2975712549187,6607.163097939793,-841.479497203014,-1221.5722420719621,-3721.579059615008,-196.16419096117897,-1997.0325684711174,68.56041671977869,-1219.2962332156749,4181.320884462628,2742.736964606597,-1303.2563978739327,5262.245306445526,-5446.444471573235,-3268.287823721279,-1592.7222920168615,-3302.2305743278184,890.4535160866707,-831.5765040495753,12232.564676172335,-5056.4592256956685,-4866.175949848217,6645.108976838834,3753.3635565283384,-5463.81001515696,1343.619363076028,2402.133427058925,2021.0730104980041,653.0377726810898,-6507.365444906585,-632.3054428629603,3496.0516988455875,2563.334892625988,5965.752370108214,-5019.795215239114,-739.4029494993288,854.4687144435443,-452.11757391838637,2441.3766723326926,1825.0140806003265,-1300.2121760462646
2001-01-10,-2419.992079128994,770.8527081710927,-4505.722083852154,361.49060340710275,2988.893343996222,3227.97835446507,-3068.032202099961,-64.31139807724321,-391.54770715785344,-5892.0864451391835,-649.4660562611207,414.05300770195345,-369.23760645475886,663.5018772430558,10826.76307420275,-3213.4885792803616,498.4696730068972,-1681.4567637387754,-3658.0976027354745,5587.9699631531485,-1835.2251355745784,1976.1704890789933,1249.5955752184982,1354.8964128502953,3679.065605270591,2348.0940329577406,15.259549053454975,-3245.1005420361735,-4806.709345023266,5242.818042820751,-5043.584878075104,-137.18445476530837,-4768.241338288079,-7853.061401064169,-1985.0736339847936,-4584.147388820428,-4452.046483919908,-6018.629970849774,278.9956919998658,220.43303767168095,-4239.781746422809,-1731.4874969908924,708.0088605935489,1443.232374477774,-2808.4189644820235,-4410.567511655739,3944.539032161531,1243.956319038538,1730.6979719032647,979.2885074531496,-3582.947959374449,11846.69804386053,-8521.04335513181,-4173.370468997594,2951.6932834456384,2526.243846920838,-593.5828072584536,-6046.344096565637,-3050.9604838010355,2076.7410433727237,-5492.242314448059,-1174.1538750452546,-148.17760366636776,-3511.078319130075,-1755.1742218734935,596.5970717347865,-2237.4416808989545,-7215.2435165323905,1284.3836677629379,1607.426536440313,5970.804038880031,-109.91307122503508,-3809.4060758863106,3971.7114438056115,1080.7577113481784,-3784.4522665209843,-937.8794851249547,1908.248779325897,6509.421078078069,-4326.318739438457,-3589.680657827779,9196.738130010663,4148.699384521302,3827.6786824668125,38.64549983287361,2957.7161897397727,3724.070825377759,1617.1482406682935,-6543.161879484183,1803.3404076828206,-6490.131999280318,8061.32399401613,956.7897085511449,-4118.739111090452,-486.0006951614878,-1134.6744580423513,-1166.3363717688644,-2034.1555649935692,-502.66430502701223,151.94925615185912
2001-01-11,2525.5560619916173,-2536.2653312902157,3830.7146232310497,884.4794254700319,-4206.803313269624,-1118.2868416198644,-3825.507940364181,1460.389114787065,-1727.6060675028239,3398.08345554994,-3566.4538907314636,366.50341680546353,-1432.1802106808645,-1634.9190114281628,11198.906684777647,-170.27175517427168,82.52051003284032,-5308.023806099884,-2875.203655230396,4175.674667642739,-1484.033754365224,-1149.0491050640007,-1099.840914694796,-4294.701495767106,1713.138923163111,1050.1250279596843,-1946.0837631139766,-4975.057839590705,5850.455517599118,-5180.802581072316,-878.2482043613386,-6177.237749278028,1318.6802156204576,-4838.777629049373,4530.4722087378905,-2655.250783636954,-7333.429267656794,-298.77033201817267,95.8931902506979,4590.655394141188,-1457.8033728466044,-2510.8512246252576,2212.5011413227203,864.3459387256007,1641.228265154976,-6623.410412293617,-123.66419161695967,1740.079385268417,-717.4226633968183,-4151.069362440327,9735.318642228058,-8566.802398694215,-6346.537070622038,4605.106781656112,1337.749162778382,1059.4991895438834,2196.8768469427855,4187.441678410186,-4864.979346582246,-2691.5774913884557,1030.5401371771914,733.9401345469541,3912.7873961700625,2859.3050964896624,503.0153912711904,629.4897658362434,-3718.8120522355603,-7256.178456296608,-414.86625048426777,-2206.356967693203,2702.2476731994684,347.2014809459838,-495.0248330084444,765.9516942838895,-2283.4136722874173,1309.877145770421,-6504.186049971071,2664.4780312761054,6365.254923807246,-6528.031204870801,-434.75156774422885,-9616.54211717486,2557.443641838742,779.0253512656309,479.9680775234042,3336.7925261794244,3225.0456189907745,1014.9908593906148,-7016.773781625527,-5379.249295016612,-7482.826098578145,-2123.4938313422,-5368.236156609626,-857.1617002698604,1624.6638304997962,3521.706911610865,-4485.466867413947,-4076.7874564118533,11.2355304232442,-2085.2493200634945
2001-01-12,2981.029728463734,-4602.569065233212,-1727.136652309075,1258.3172969431907,-2552.483136155137,-423.6574927861607,-3060.1143620395496,-1579.5025047368536,966.8239602313538,3785.2534162301263,1978.3927487682813,-13.658582052534257,2808.8994824916663,-10014.800512189566,-6232.916564747882,-1929.9062651565437,-6629.910585277308,1211.7059306230522,-4017.0567347097467,1743.1295752870246,1032.8942375091606,878.4178039052304,2324.0443032123076,-5192.23138496754,-1296.1779964017387,293.80009219985277,5918.329317824733,-5379.883394149754,-5293.762287860818,-1670.2457523702647,3292.369534464219,-3386.21343457874,-5478.626923613212,1765.217816201004,3972.25391306765,7961.518288327913,455.15417162642007,-393.3261808692332,-4420.126760325842,3679.749780083679,-1454.5161733129253,-1742.3613100702623,-449.88911207521505,-2773.865018553517,-4840.928959962901,1067.5105318668566,2837.9985877450713,-505.3181483078806,-5399.599797421975,9445.370468411038,-7699.563680993411,5260.64755737532,-5747.256847015471,4546.47641794843,-452.43977622337616,1587.811498842139,2378.729223914844,4358.464723215851,-4696.13881061281,-587.5365261195711,497.6561137601693,4126.009451358574,666.2495516919098,2130.548638709609,765.2485091734734,-3212.016443458292,3532.6627087459337,-6478.789452228716,754.1727676496062,2912.317406885635,1711.1291767504426,-362.8379712213841,-946.7075259362111,-990.8013932532099,1770.140767116401,1882.9162122754815,-9200.845787365593,-4284.72138845894,-3755.908978112037,3456.766203358564,-1584.7397910618583,9566.261302433324,-1954.1192850035031,283.36139765576127,852.1825235403858,2732.6744104727813,1354.2516314552258,-6404.107469232318,-5727.768313657838,-4048.3428147304057,-7522.119701570462,-1433.108284502182,-5329.1317281094925,-1232.8116919635877,562.922849629721,-1352.8156428193606,4228.0961297414215,-5677.268826104624,-675.3591674345089,-2512.371608691721
2001-01-16,-4484.055472538019,1410.2310962818674,2741.3640777448427,-2353.04840628872,-278.3323230623173,768.0698673216193,3571.6365143852117,1378.4909821872525,649.703328071655,-5542.111862006754,1053.4806352339183,4889.951179725768,-7068.668761103052,-121.54947442012326,-4490.098585074623,-7994.302445912026,-2522.154403135572,-3693.6586778314263,632.6926761665309,-364.62370194872665,-92.81504511844105,1182.5075854784936,-6327.627311628701,-752.1204361736536,-1179.1632369041017,5236.255526231111,-5017.3554858493335,-6030.186529360044,430.5047203714621,-3247.8452062936585,2679.0301439784416,-5023.955994601467,-1250.0548233595018,-194.31129211579582,-5886.284930088702,2858.20660967979,925.4133083942179,6986.557264958307,4030.3356215877484,-4189.515908104675,1125.6279946098102,-1047.0809597185062,-3642.665765060293,-4023.317037987553,909.4463857445689,1045.2366362791363,-1422.8958187166804,-5898.613800686241,-3018.4602361362176,-6764.076259958818,-9379.483782020632,-6765.284475115921,-3283.9270017301133,-2696.324670081256,153.36258597197138,3472.3834922395054,-5170.901891057774,-2912.121832484369,1586.4581984002834,544.376884964644,-3787.9597721049245,667.2039114570007,-1732.926129173532,481.9111334106615,-6043.053287430983,450.83673294046,5393.785142553618,-612.3735068552517,-4415.0324668762805,-2870.721591763423,162.71323567129912,1571.018434788717,588.1285639130929,-1832.0566350478593,2102.088002491215,10811.2339488471,-3656.359815299196,690.3114603305721,3942.510554624333,7158.234705863009,-2579.259411341587,-1482.8615927632036,-3963.3458847838847,-1454.3675037742823,204.84661480821524,-5987.754096287061,1791.970167231294,4373.621489728877,-5813.059275610015,2595.341567613649,7523.11017159973,-925.6098489625492,6123.87200976131,-2961.401889609433,-694.807389825382,-1533.5278770591253,-4869.096767678715,-4260.150214263065,736.4475001451228,2765.870792443653
2001-01-17,-4666.202580611038,2932.17607844533,875.9738794912855,-1232.2525524003,725.3864346435585,-3314.2737964381768,-1447.402684412085,1738.6167188477866,-7555.650832727542,3466.17739589408,2285.0818279428227,3573.8388530241573,-821.3281176449714,-2226.972138289806,4702.068750579048,1761.4289806740471,6457.002709674067,-4162.21652291648,424.92176082807055,612.4516789918271,-1712.9293605421844,-6566.2185394501075,416.48051317743284,1126.682784500883,4477.813974427598,4871.704454125978,3618.181623075334,-1425.6314433580055,1574.4519082878887,1260.5646209692218,5875.857520385574,-420.3242590567843,-1662.9358832768576,5607.093898712428,3829.805865955031,-888.2162088296263,-3355.165726358086,5149.384347893876,5759.2139948818985,-3072.7683434054475,3134.1443822323217,1846.5155694717878,-3706.0098395664936,4699.3014368698205,-1689.0297549753636,1098.5213072039353,-7231.513568271439,1140.6263955828908,6962.613624559996,7213.031256458022,-9165.516607073654,3796.2833533352964,2197.2636899780537,-370.6487695431756,3201.5492603560806,-742.6537392535965,802.3160707324132,-5742.865405355866,5138.238384196021,2662.7098210759104,-246.40755517395473,-525.6026775923565,-317.3088365317235,1354.3678615886079,-5831.8517946241645,66.01997573812332,-1147.3763833805774,5568.2930175174715,5313.98644046619,1027.6269584643455,1790.5624891773655,-1900.187907386995,-580.9067448199116,1649.7856329869483,11055.564671531278,-4675.845801802355,-2386.0845718772143,-2799.168025405431,-2403.7967545841166,3023.589691366623,-2154.3728360311043,-5293.707993826047,3243.341680113821,426.8239170408615,-4737.895114905802,2341.597559668269,-4794.25080555159,-1976.4286349353042,-2017.0554604562203,6805.778075881029,-8357.545928888954,1283.2404442473494,-3234.158722163268,601.0957210371325,3085.235419155909,3752.4474822739094,-5254.282448533705,198.16841841036603,-976.4483950630492,2778.66923214619
2001-01-18,-5062.97634613896,2873.2882524984507,163.81047766664688,1000.7476951272583,-1612.1187382832072,-2278.09324052161,1947.9325889164884,6073.1362398615565,5257.140098712261,-1278.9933767534121,2621.385293828336,2298.834206010569,2032.4523898962452,-6002.809815775511,-416.624515274998,-5983.059147590208,1268.0078037875737,-1130.3691652402376,796.3603865217729,-488.5675319380289,-6199.071514084092,-630.3749589784379,1324.329240085326,-4892.652920155473,-3347.0619873715777,1531.5942038625726,-1015.9101690789748,-1000.5208584828233,1710.4057406558068,1883.8369394966053,4204.989001374561,3512.226607667937,3382.2022147616985,-1572.2559643024797,-4179.41537382955,2051.8247103926346,3631.1033273151206,7534.484833329799,-8664.936091134241,6392.5492171146,-1047.8062557361154,-2866.804657694466,-5960.029436771652,2147.7250299343314,758.3499194061519,6946.287662707887,2704.9719883640264,5429.735863421495,5327.770706682884,-5601.532175166713,-8006.025688991224,2839.777269636432,-1825.4128014192975,-2047.3075813324203,1519.6299476961635,-879.7431975227755,-5519.036082828987,2134.4619189390824,5461.292615478879,3180.8977009891823,218.81326125295254,1454.7735101173394,4232.570419635566,-4530.280352033683,-3694.84524960475,-115.24834885102791,-4831.044797364142,1846.7270711331157,5265.091960049804,-4388.509430060332,-901.2510780612602,3394.9143649858042,5882.236459316827,-4897.007857801315,7658.053785319729,2579.32127087543,-4317.973443384736,-3219.6122710760988,1682.07459823319,3762.9911272346844,1895.6882835802244,-3621.1753795325603,-946.9905718658188,2232.3443334534895,-3311.9556630825955,-1179.9259273139319,-5638.00038832415,-2089.3819440004763,150.84229795481906,8817.356668762919,-6406.554842178668,1825.2192768269265,-1962.0710800819277,4605.889986412603,-660.9013908481475,-3192.2303482542357,-3725.7856868516533,-345.68083555364365,2745.8904735045307,2221.54966715291
