,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
1asset_sig_mtm,44.0,42.4,1.04,0.2,-1.41,322.0,702.0,702.0,0.31,0.59,1.2,1.61,1.21,1.45,3.68
1asset_sig_mcd,-10.4,42.49,-0.24,0.2,-1.96,663.0,,746.0,-0.05,0.5,0.96,-0.35,1.02,0.98,3.74
1asset_sig_mean_rev,25.62,42.46,0.6,0.2,-1.21,20.0,432.0,432.0,0.21,0.72,1.11,0.85,1.03,1.14,3.78
1asset_sig_rev,-59.46,42.33,-1.4,0.2,-2.83,729.0,,746.0,-0.21,0.86,0.78,-1.79,0.89,0.7,3.55
1asset_sig_pfrevers,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_prs,34.87,42.43,0.82,0.2,-1.29,333.0,726.0,726.0,0.27,0.36,1.15,1.27,1.09,1.26,3.61
5assets_sig_mtm,53.55,59.77,0.9,0.28,-1.53,136.0,442.0,442.0,0.35,0.86,1.16,1.34,1.07,1.24,1.8
5assets_sig_mcd,-16.9,45.82,-0.37,0.21,-1.74,460.0,,746.0,-0.1,0.64,0.94,-0.5,0.91,0.85,4.65
5assets_sig_mean_rev,3.49,45.08,0.08,0.21,-1.21,14.0,,746.0,0.03,0.02,1.01,0.11,1.02,1.03,3.62
5assets_sig_rev,-32.13,47.26,-0.68,0.22,-1.98,742.0,,746.0,-0.16,0.68,0.89,-0.94,0.92,0.82,3.48
5assets_sig_pfrevers,4.45,42.33,0.11,0.2,-1.62,47.0,,746.0,0.03,0.3,1.02,0.15,1.0,1.02,7.53
5assets_sig_prs,19.41,38.99,0.5,0.18,-1.17,143.0,,746.0,0.17,0.75,1.09,0.69,1.11,1.21,6.5
10assets_sig_mtm,56.95,60.77,0.94,0.28,-1.56,136.0,442.0,442.0,0.37,0.87,1.17,1.43,1.06,1.24,2.15
10assets_sig_mcd,-41.44,42.48,-0.98,0.2,-2.23,663.0,,746.0,-0.19,0.91,0.84,-1.26,0.87,0.73,8.32
10assets_sig_mean_rev,13.66,39.82,0.34,0.18,-1.14,14.0,,746.0,0.12,0.2,1.06,0.5,1.0,1.06,3.65
10assets_sig_rev,-16.75,46.11,-0.36,0.21,-1.65,136.0,,746.0,-0.1,0.15,0.94,-0.53,0.95,0.89,6.71
10assets_sig_pfrevers,5.61,40.66,0.14,0.19,-1.63,47.0,,746.0,0.03,0.39,1.03,0.19,1.04,1.06,8.0
10assets_sig_prs,4.49,35.28,0.13,0.16,-1.29,286.0,,746.0,0.03,0.33,1.02,0.17,1.03,1.05,15.29
30assets_sig_mtm,57.18,104.54,0.55,0.48,-2.55,136.0,497.0,497.0,0.22,0.71,1.1,0.81,0.99,1.09,2.32
30assets_sig_mcd,-33.07,64.67,-0.51,0.3,-2.08,632.0,,746.0,-0.16,0.71,0.91,-0.67,0.94,0.85,8.26
30assets_sig_mean_rev,44.18,43.79,1.01,0.2,-1.17,122.0,278.0,278.0,0.38,0.77,1.19,1.48,1.24,1.48,3.43
30assets_sig_rev,-1.61,76.21,-0.02,0.35,-2.15,136.0,,746.0,-0.01,0.14,1.0,-0.03,1.03,1.03,8.57
30assets_sig_pfrevers,40.26,43.33,0.93,0.2,-1.15,38.0,267.0,267.0,0.35,0.67,1.18,1.33,1.03,1.21,4.23
30assets_sig_prs,-14.85,41.85,-0.35,0.19,-1.79,583.0,,746.0,-0.08,0.59,0.94,-0.49,0.95,0.89,7.29
