,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
1asset_sig_mtm_sample,2.94,2.61,1.13,0.01,-1.0,322.0,,746.0,0.03,0.49,1.42,2.02,1.33,1.88,52.31
1asset_sig_mcd_sample,3.34,2.78,1.2,0.01,-1.01,136.0,,746.0,0.03,0.57,1.38,2.11,1.25,1.72,39.93
1asset_sig_mean_rev_sample,3.06,3.0,1.02,0.01,-1.02,322.0,,746.0,0.03,0.36,1.3,1.76,1.21,1.56,34.59
1asset_sig_rev_sample,2.95,2.63,1.12,0.01,-1.0,7.0,,746.0,0.03,0.46,1.41,2.03,1.21,1.71,55.5
1asset_sig_pfrevers_sample,2.84,2.62,1.08,0.01,-1.0,136.0,,746.0,0.03,0.48,1.4,1.93,1.27,1.78,51.14
1asset_sig_prs_sample,3.39,2.76,1.23,0.01,-1.01,145.0,,746.0,0.03,0.6,1.38,2.16,1.31,1.8,39.54
1asset_sig_rff_sample,2.95,2.62,1.13,0.01,-1.0,322.0,,746.0,0.03,0.49,1.41,2.02,1.32,1.87,52.25
5assets_sig_mtm_sample,-3.13,7.99,-0.39,0.04,-1.11,731.0,,746.0,-0.03,0.38,0.93,-0.54,0.96,0.89,7.91
5assets_sig_mcd_sample,-2.39,8.84,-0.27,0.04,-1.14,423.0,,746.0,-0.02,0.55,0.95,-0.36,1.06,1.01,12.15
5assets_sig_mean_rev_sample,-13.42,14.33,-0.94,0.07,-1.4,441.0,,746.0,-0.1,0.88,0.83,-1.25,0.88,0.73,8.39
5assets_sig_rev_sample,-4.99,7.14,-0.7,0.03,-1.15,735.0,,746.0,-0.04,0.38,0.88,-0.91,1.01,0.89,4.91
5assets_sig_pfrevers_sample,-0.35,8.97,-0.04,0.04,-1.12,455.0,,746.0,-0.0,0.14,0.99,-0.05,0.92,0.91,10.66
5assets_sig_prs_sample,-14.12,10.22,-1.38,0.05,-1.43,734.0,,746.0,-0.1,0.91,0.77,-1.75,0.71,0.55,4.64
5assets_sig_rff_sample,0.67,7.46,0.09,0.03,-1.03,516.0,,746.0,0.01,0.31,1.02,0.13,0.97,0.99,7.02
