,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
1asset_sig_mtm,44.0,42.4,1.04,0.2,-1.41,322.0,702.0,702.0,0.31,0.59,1.2,1.61,1.21,1.45,3.68
1asset_sig_mcd,-10.4,42.49,-0.24,0.2,-1.96,663.0,,746.0,-0.05,0.5,0.96,-0.35,1.02,0.98,3.74
1asset_sig_mean_rev,25.62,42.46,0.6,0.2,-1.21,20.0,432.0,432.0,0.21,0.72,1.11,0.85,1.03,1.14,3.78
1asset_sig_rev,-53.03,42.36,-1.25,0.2,-2.64,729.0,,746.0,-0.2,0.74,0.81,-1.57,0.87,0.7,3.49
1asset_sig_pfrevers,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_prs,31.21,42.45,0.74,0.2,-1.34,390.0,,746.0,0.23,0.21,1.14,1.14,1.09,1.24,3.62
5assets_sig_mtm,53.62,59.73,0.9,0.28,-1.53,136.0,442.0,442.0,0.35,0.86,1.16,1.35,1.08,1.25,1.81
5assets_sig_mcd,-16.97,45.77,-0.37,0.21,-1.74,460.0,,746.0,-0.1,0.64,0.94,-0.5,0.91,0.85,4.6
5assets_sig_mean_rev,3.49,45.08,0.08,0.21,-1.21,14.0,,746.0,0.03,0.02,1.01,0.11,1.02,1.03,3.62
5assets_sig_rev,-30.07,47.27,-0.64,0.22,-1.92,742.0,,746.0,-0.16,0.62,0.89,-0.88,0.92,0.82,3.49
5assets_sig_pfrevers,4.36,42.32,0.1,0.2,-1.62,47.0,,746.0,0.03,0.3,1.02,0.14,0.99,1.01,7.49
5assets_sig_prs,19.34,39.0,0.5,0.18,-1.17,143.0,,746.0,0.17,0.75,1.09,0.69,1.11,1.22,6.53
10assets_sig_mtm,57.03,60.73,0.94,0.28,-1.56,136.0,442.0,442.0,0.36,0.87,1.17,1.43,1.06,1.24,2.16
10assets_sig_mcd,-41.29,42.46,-0.97,0.2,-2.22,746.0,,746.0,-0.19,0.9,0.84,-1.25,0.87,0.73,8.29
10assets_sig_mean_rev,13.66,39.82,0.34,0.18,-1.14,14.0,,746.0,0.12,0.2,1.06,0.5,1.0,1.06,3.65
10assets_sig_rev,-16.66,46.09,-0.36,0.21,-1.65,136.0,,746.0,-0.1,0.14,0.94,-0.53,0.97,0.9,6.73
10assets_sig_pfrevers,5.56,40.63,0.14,0.19,-1.63,47.0,,746.0,0.03,0.39,1.03,0.19,1.04,1.06,7.97
10assets_sig_prs,4.47,35.28,0.13,0.16,-1.29,286.0,,746.0,0.03,0.34,1.02,0.17,1.04,1.07,15.34
30assets_sig_mtm,56.81,104.52,0.54,0.48,-2.55,136.0,497.0,497.0,0.22,0.71,1.1,0.81,0.99,1.09,2.33
30assets_sig_mcd,-32.85,64.64,-0.51,0.3,-2.08,632.0,,746.0,-0.16,0.71,0.91,-0.66,0.94,0.86,8.28
30assets_sig_mean_rev,44.18,43.79,1.01,0.2,-1.17,122.0,278.0,278.0,0.38,0.77,1.19,1.48,1.24,1.48,3.43
30assets_sig_rev,-1.58,76.18,-0.02,0.35,-2.16,136.0,,746.0,-0.01,0.14,1.0,-0.03,1.04,1.04,8.57
30assets_sig_pfrevers,39.84,43.29,0.92,0.2,-1.15,38.0,267.0,267.0,0.35,0.67,1.18,1.32,1.03,1.22,4.19
30assets_sig_prs,-14.36,41.86,-0.34,0.19,-1.77,583.0,,746.0,-0.08,0.59,0.94,-0.48,0.97,0.91,7.31
50assets_sig_mtm,80.55,137.55,0.59,0.64,-2.99,191.0,466.0,466.0,0.27,0.71,1.11,0.88,1.01,1.12,2.16
50assets_sig_mcd,-41.21,81.85,-0.5,0.38,-2.38,612.0,,746.0,-0.17,0.74,0.91,-0.66,0.96,0.87,8.31
50assets_sig_mean_rev,33.9,55.57,0.61,0.26,-1.46,122.0,325.0,325.0,0.23,0.73,1.12,0.91,1.1,1.23,7.02
50assets_sig_rev,-17.13,96.58,-0.18,0.45,-2.27,136.0,,746.0,-0.08,0.0,0.97,-0.27,0.9,0.87,9.01
50assets_sig_pfrevers,30.14,48.31,0.62,0.22,-1.24,50.0,270.0,457.0,0.24,0.59,1.12,0.88,1.02,1.13,4.14
50assets_sig_prs,-17.62,46.17,-0.38,0.21,-1.65,603.0,,746.0,-0.11,0.7,0.93,-0.54,0.95,0.88,5.09
