,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
1asset_sample,20.53,42.47,0.48,0.2,-1.79,348.0,,746.0,0.11,0.0,1.09,0.72,1.09,1.18,3.69
1asset_nls,20.53,42.47,0.48,0.2,-1.79,348.0,,746.0,0.11,0.0,1.09,0.72,1.09,1.18,3.69
1asset_ls,20.53,42.47,0.48,0.2,-1.79,348.0,,746.0,0.11,0.0,1.09,0.72,1.09,1.18,3.69
1asset_id,20.53,42.47,0.48,0.2,-1.79,348.0,,746.0,0.11,0.0,1.09,0.72,1.09,1.18,3.69
5assets_sample,27.32,45.47,0.6,0.21,-1.47,121.0,,746.0,0.19,0.55,1.11,0.86,0.98,1.09,6.04
5assets_nls,28.34,45.44,0.62,0.21,-1.47,121.0,,746.0,0.19,0.57,1.12,0.9,0.99,1.11,6.04
5assets_ls,30.15,45.01,0.67,0.21,-1.45,121.0,,746.0,0.21,0.63,1.13,0.96,1.04,1.17,6.02
5assets_id,56.89,48.24,1.18,0.22,-1.16,122.0,442.0,442.0,0.49,0.91,1.22,1.77,1.1,1.34,3.78
10assets_sample,21.16,39.66,0.53,0.18,-1.23,336.0,,746.0,0.17,0.29,1.1,0.76,1.01,1.11,5.27
10assets_nls,22.33,39.47,0.57,0.18,-1.22,336.0,,746.0,0.18,0.35,1.11,0.8,0.99,1.1,5.26
10assets_ls,22.74,39.3,0.58,0.18,-1.2,336.0,,746.0,0.19,0.38,1.11,0.82,1.0,1.11,5.51
10assets_id,49.84,47.58,1.05,0.22,-1.15,148.0,680.0,680.0,0.44,0.84,1.2,1.54,1.03,1.24,4.28
30assets_sample,-9.36,43.85,-0.21,0.2,-1.99,400.0,,746.0,-0.05,0.49,0.96,-0.29,0.82,0.79,1.61
30assets_nls,-6.31,43.03,-0.15,0.2,-1.92,400.0,,746.0,-0.03,0.42,0.98,-0.2,0.85,0.83,1.42
30assets_ls,-4.72,42.91,-0.11,0.2,-1.91,400.0,,746.0,-0.02,0.41,0.98,-0.15,0.86,0.84,1.41
30assets_id,13.11,67.52,0.19,0.31,-1.93,369.0,,746.0,0.07,0.0,1.03,0.27,0.96,0.99,3.46
50assets_sample,-26.02,50.87,-0.51,0.24,-2.55,524.0,,746.0,-0.1,0.67,0.92,-0.68,0.82,0.75,1.32
50assets_nls,-24.26,49.12,-0.49,0.23,-2.52,524.0,,746.0,-0.1,0.62,0.92,-0.66,0.83,0.77,1.16
50assets_ls,-23.2,49.43,-0.47,0.23,-2.48,524.0,,746.0,-0.09,0.63,0.92,-0.62,0.82,0.75,1.16
50assets_id,-11.47,88.96,-0.13,0.41,-3.2,400.0,,746.0,-0.04,0.14,0.98,-0.17,0.93,0.91,2.31
