,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
1asset_sig_mtm_sample,44.0,42.4,1.04,0.2,-1.41,322.0,702.0,702.0,0.31,0.59,1.2,1.61,1.21,1.45,3.68
1asset_sig_mtm_nls,44.0,42.4,1.04,0.2,-1.41,322.0,702.0,702.0,0.31,0.59,1.2,1.61,1.21,1.45,3.68
1asset_sig_mtm_ls,44.0,42.4,1.04,0.2,-1.41,322.0,702.0,702.0,0.31,0.59,1.2,1.61,1.21,1.45,3.68
1asset_sig_mtm_id,44.0,42.4,1.04,0.2,-1.41,322.0,702.0,702.0,0.31,0.59,1.2,1.61,1.21,1.45,3.68
1asset_sig_mcd_sample,-10.4,42.49,-0.24,0.2,-1.96,663.0,,746.0,-0.05,0.5,0.96,-0.35,1.02,0.98,3.74
1asset_sig_mcd_nls,-10.4,42.49,-0.24,0.2,-1.96,663.0,,746.0,-0.05,0.5,0.96,-0.35,1.02,0.98,3.74
1asset_sig_mcd_ls,-10.4,42.49,-0.24,0.2,-1.96,663.0,,746.0,-0.05,0.5,0.96,-0.35,1.02,0.98,3.74
1asset_sig_mcd_id,-10.4,42.49,-0.24,0.2,-1.96,663.0,,746.0,-0.05,0.5,0.96,-0.35,1.02,0.98,3.74
1asset_sig_mean_rev_sample,25.62,42.46,0.6,0.2,-1.21,20.0,432.0,432.0,0.21,0.72,1.11,0.85,1.03,1.14,3.78
1asset_sig_mean_rev_nls,25.62,42.46,0.6,0.2,-1.21,20.0,432.0,432.0,0.21,0.72,1.11,0.85,1.03,1.14,3.78
1asset_sig_mean_rev_ls,25.62,42.46,0.6,0.2,-1.21,20.0,432.0,432.0,0.21,0.72,1.11,0.85,1.03,1.14,3.78
1asset_sig_mean_rev_id,25.62,42.46,0.6,0.2,-1.21,20.0,432.0,432.0,0.21,0.72,1.11,0.85,1.03,1.14,3.78
1asset_sig_rev_sample,-53.03,42.36,-1.25,0.2,-2.64,729.0,,746.0,-0.2,0.74,0.81,-1.57,0.87,0.7,3.49
1asset_sig_rev_nls,-53.03,42.36,-1.25,0.2,-2.64,729.0,,746.0,-0.2,0.74,0.81,-1.57,0.87,0.7,3.49
