,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
1asset_sig_mtm,-0.2,6.77,-0.03,0.03,-1.06,453.0,,496.0,-0.0,0.09,0.99,-0.04,1.13,1.12,5.65
1asset_sig_mcd,-0.88,7.64,-0.12,0.04,-1.07,229.0,,496.0,-0.01,0.01,0.98,-0.16,1.18,1.15,6.43
1asset_sig_mean_rev,1.74,6.51,0.27,0.03,-1.07,178.0,,496.0,0.02,0.2,1.06,0.39,1.15,1.22,14.89
1asset_sig_rev,2.83,7.03,0.4,0.03,-1.07,355.0,,496.0,0.03,0.13,1.09,0.67,1.16,1.26,16.65
1asset_sig_pfrevers,-5.35,4.27,-1.25,0.02,-1.11,479.0,,496.0,-0.05,0.61,0.75,-1.51,0.88,0.66,36.76
1asset_sig_prs,-4.0,7.27,-0.55,0.03,-1.1,460.0,,496.0,-0.04,0.62,0.88,-0.67,0.89,0.78,66.17
1asset_sig_rff,2.01,3.57,0.56,0.02,-1.01,293.0,,496.0,0.02,0.2,1.13,0.82,0.95,1.08,15.35
5assets_sig_mtm,-7.99,25.91,-0.31,0.12,-1.17,494.0,,496.0,-0.07,0.14,0.95,-0.44,0.96,0.9,4.98
5assets_sig_mcd,-29.79,35.99,-0.83,0.17,-1.63,463.0,,496.0,-0.18,0.77,0.86,-1.03,0.74,0.64,10.39
5assets_sig_mean_rev,-17.48,34.02,-0.51,0.16,-1.7,355.0,,496.0,-0.1,0.55,0.91,-0.7,0.93,0.84,6.39
5assets_sig_rev,9.15,31.89,0.29,0.15,-1.12,354.0,,496.0,0.08,0.02,1.05,0.43,1.12,1.18,3.81
5assets_sig_pfrevers,18.32,27.88,0.66,0.13,-1.01,10.0,,496.0,0.18,0.36,1.11,0.95,1.02,1.13,1.21
5assets_sig_prs,-24.92,42.56,-0.59,0.2,-1.5,292.0,,496.0,-0.17,0.22,0.9,-0.79,0.92,0.83,7.55
5assets_sig_rff,-8.07,27.53,-0.29,0.13,-1.44,445.0,,496.0,-0.06,0.19,0.95,-0.4,1.01,0.96,1.83
10assets_sig_mtm,2.89,45.77,0.06,0.21,-1.08,8.0,,496.0,0.03,0.4,1.01,0.09,1.07,1.08,2.12
10assets_sig_mcd,12.16,80.35,0.15,0.37,-1.62,215.0,,361.0,0.07,0.41,1.03,0.22,0.98,1.0,2.69
10assets_sig_mean_rev,-24.81,74.85,-0.33,0.35,-1.65,214.0,,242.0,-0.15,0.05,0.95,-0.47,0.94,0.89,5.93
10assets_sig_rev,64.77,65.37,0.99,0.3,-1.14,32.0,396.0,396.0,0.57,0.76,1.18,1.54,1.11,1.31,2.84
